numero,annee,article,bureau,code_commission,code_imp,commissionnaire,importateur,numero.1,origine,produit,provenance,regime,date,libelle_produit,origine_encoded,provenance_encoded,importateur_encoded,commissionnaire_encoded,regime_encoded,pays_correspondance,transaction_repetitivite,risk_score,risk_category
30000,2019,1,18N,53455,121984,Anbufritus,Befrinulaubotin,20496,CONGO,8703332000,CONGO,8797,08/01/2019,"-AUTRES VÉHICULES, UNIQUEMENT À MOTEUR À PISTON À ALLUMAGE PAR COMPRESSION (DIESEL OU SEMI-DIESEL) : -- D'UNE CYLINDRÉE EXCÉDANT 2500 CM3 : ---USAGÉS",24,24,1247,38,67,1,0.0,0.17194102002080264,Vert (Risque Faible)
30001,2018,1,10S,7512,7512,Difricio,Fadagustus,10887,SÉNÉGAL,7215900000,SÉNÉGAL,5984,13/07/2021,#NOM?,96,93,3071,160,45,1,0.29069767441860467,0.12760110395114102,Vert (Risque Faible)
30002,2018,1,10S,32640,50711,Duguscio,Bagusius,10888,CHINE,9004100000,CHINE,8797,13/07/2021,#NOM?,21,21,1084,198,67,1,0.011627906976744186,0.17417661726339326,Vert (Risque Faible)
30003,2019,1,18N,39127,39127,Algunules,Algunules,20549,MAURITANIE,803101000,MAURITANIE,1450,08/01/2019,- PLANTAINS :-- FRAICHES,66,66,401,28,3,1,0.0,0.1532281189856386,Vert (Risque Faible)
30004,2019,1,18N,91861,91861,Banus,Banus,20572,JAPON,8703332000,BELGIQUE,1450,08/01/2019,"-AUTRES VÉHICULES, UNIQUEMENT À MOTEUR À PISTON À ALLUMAGE PAR COMPRESSION (DIESEL OU SEMI-DIESEL) : -- D'UNE CYLINDRÉE EXCÉDANT 2500 CM3 : ---USAGÉS",53,11,1108,83,3,0,0.06104651162790698,0.6878872849216655,Orange (Risque Modéré)
30005,2019,1,18N,33309,33309,Bafrigusnulius,Agubues,20587,JAPON,8704212000,BELGIQUE,1450,08/01/2019,"- AUTRES, À MOTEUR-- D'UN POIDS EN CHARGE MAXIMAL N'EXCÉDANT PAS 5 TONNES :--- USAGÉS",53,11,178,78,3,0,1.0,0.702241272911375,Rouge (Très Susceptible de Fraude)
30006,2018,2,13L,62,32442,Aldagubiguscio,Dubigubifritor,23518,NIGÉRIA,2709000000,SÉNÉGAL,9293,21/11/2018,HUILES BRUTES DE PETROLE  OU DE MINERAUX BITUMINEUX                                                                                                                                                         ,70,93,2367,21,74,0,0.011627906976744186,0.5777361144842417,Orange (Risque Modéré)
30007,2018,1,13L,62,61899,Aldagubiguscio,Anbibigugudanus,23519,S.A.R.,2710192100,SÉNÉGAL,1723,21/11/2018,#NOM?,85,93,502,21,9,0,0.020348837209302327,0.49423859829853956,Orange (Risque Modéré)
30008,2019,2,18N,24092,461,Dofribigustin,Bibudabidanus,20607,CHINE,9019101000,CHINE,9268,19/02/2019,-- Â«Â JacuzziÂ Â» et appareils dÂhydromassage similaires,21,21,1399,181,73,1,0.0755813953488372,0.12421979172346252,Vert (Risque Faible)
30009,2018,2,10S,32640,50711,Duguscio,Bagusius,10888,CHINE,8512200000,CHINE,8797,13/07/2021,#NOM?,21,21,1084,198,67,1,0.011627906976744186,0.04558217975576928,Vert (Risque Faible)
